	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_71_7.txt	71	7	15.98023	16.33808	16.61573	16.64785	15.45786	15.61474	16.41082	17.20279	17.64747	16.22734	15.87743	18.81647	17.8115	14.45804	16.00505	16.84809	15.22427	18.52525	17.02553	17.1422	16.54604	17.01974	17.42549	15.85935	15.43354	16.92384	16.94292	16.53519	16.63904	14.60674
alpha_rarefaction_71_8.txt	71	8	19.99309	18.38636	18.18196	15.21313	18.32471	17.75691	15.56582	17.58121	16.91337	16.54821	16.11483	15.91935	19.03306	15.73903	14.37997	17.80198	15.49063	14.78953	18.92259	15.47614	18.56875	14.62584	17.68019	17.11476	19.40814	14.89832	17.3217	15.26638	14.95257	13.46919
alpha_rarefaction_71_9.txt	71	9	18.01235	17.04209	18.5005	15.2989	16.37311	16.00354	16.9729	16.10344	15.58784	18.05437	17.55214	15.05782	18.31384	13.17104	18.24065	18.57001	17.3817	15.90628	15.23932	15.2719	16.27029	15.22048	17.07534	17.11437	17.84465	14.37656	16.48429	17.75092	17.61514	14.82846
alpha_rarefaction_132_0.txt	132	0	26.38533	27.34865	24.17647	26.25891	23.89201	24.36458	26.9641	24.74872	24.53549	25.491	26.78571	26.39188	25.39382	23.66556	23.87104	26.53234	23.26137	25.99133	24.9803	25.95144	27.02476	23.02417	22.31945	26.38491	26.06903	28.63259	26.08608	23.99574	24.00458	22.18037
alpha_rarefaction_132_1.txt	132	1	27.03846	26.51192	25.81036	23.02663	25.42949	22.50492	27.1633	24.30631	23.16143	27.16941	25.72788	23.54735	24.97579	21.41676	25.35621	27.84402	25.48991	26.42338	25.20349	24.57243	24.478	23.7143	23.94219	24.60291	24.90905	25.73565	24.40702	24.9399	24.34059	20.63665
alpha_rarefaction_132_2.txt	132	2	24.89427	25.77215	25.00076	22.98838	21.33027	21.99847	23.92504	24.05603	21.10005	20.76573	25.46214	22.04268	27.30266	22.80322	26.53035	25.67657	21.76509	26.84492	24.55489	26.17177	26.63398	23.33779	22.80375	27.39948	25.96275	26.14615	24.83138	26.2304	24.85893	22.44855
alpha_rarefaction_132_3.txt	132	3	24.52273	26.88425	22.09491	24.45158	19.69847	24.68937	24.1214	24.68496	25.31564	23.9051	27.30471	27.18938	26.44111	20.10614	27.88184	25.14905	22.49758	26.24875	24.22246	24.45814	25.96088	26.93128	26.17328	28.0134	25.35139	23.20662	27.0189	24.9823	25.93755	23.34915
alpha_rarefaction_132_4.txt	132	4	24.86338	28.17785	22.16784	23.05595	26.80695	24.95739	23.08892	25.27425	24.0779	26.05029	26.66255	23.03101	27.12947	23.43017	26.58309	26.61807	24.16797	25.7902	25.27362	26.1891	25.32238	23.59708	23.60803	24.92486	27.22757	25.11485	23.57991	25.89234	24.1818	18.77514
alpha_rarefaction_132_5.txt	132	5	22.8717	24.32949	21.19645	24.05155	20.94638	23.56002	25.93111	23.7657	23.78534	24.12277	23.20442	24.53646	26.58402	23.70376	24.26098	25.61102	25.14786	24.56032	25.15287	25.13149	24.16371	22.25172	24.43004	25.12063	27.06124	23.84492	27.99032	25.31337	25.11431	20.15624
alpha_rarefaction_132_6.txt	132	6	24.3383	26.72115	28.48491	26.64288	24.68972	23.50098	27.48417	24.51186	24.53871	25.36017	25.53299	24.8812	27.45322	20.3565	25.12502	26.66834	25.63154	25.35077	25.25647	22.79854	25.18067	27.36475	24.73882	24.96159	25.78053	26.21725	23.35095	24.32962	22.51778	21.3848
alpha_rarefaction_132_7.txt	132	7	25.79981	25.22314	23.13841	25.98326	21.94766	24.9822	24.57521	24.99608	24.42896	22.73577	23.10433	25.21028	25.71889	24.39262	24.38318	26.86169	24.9438	26.35543	25.24365	24.24	24.26384	24.80937	28.45999	23.05896	25.90782	23.75956	24.46854	23.6403	26.21995	19.95618
alpha_rarefaction_132_8.txt	132	8	27.1176	26.00267	22.1115	25.58387	21.99583	23.07297	25.48241	25.71952	25.72581	23.44539	25.35561	24.74505	25.93038	22.9358	26.4636	25.57756	24.56547	25.61194	25.16383	25.07161	24.83164	24.47328	24.96627	23.40998	24.66046	25.7719	23.90918	21.10617	25.82993	20.43657
alpha_rarefaction_132_9.txt	132	9	27.29348	26.79104	23.72451	24.54111	23.56158	25.37153	26.22767	25.14856	25.62987	24.78481	27.4988	25.97047	27.88855	21.69085	24.94895	26.74854	24.5068	23.56396	25.94026	26.65772	26.53893	26.29785	24.20232	26.49447	26.85191	25.36397	23.20926	23.94313	25.31184	21.276
alpha_rarefaction_193_0.txt	193	0	34.75502	31.32021	28.91978	30.17978	30.88523	28.85461	32.16688	29.88676	28.10532	33.48601	33.34151	29.94711	33.49271	27.68993	29.62813	33.34862	30.1537	30.62562	30.86264	29.76091	32.67131	29.0289	32.43552	29.33035	33.36363	31.84095	30.95121	29.75681	29.99165	26.63116
alpha_rarefaction_193_1.txt	193	1	32.34058	30.21795	28.90998	28.30802	30.35823	29.94273	33.01771	33.14628	30.3178	32.79011	31.80162	31.83691	31.95586	26.72197	31.91001	29.67627	29.68957	32.39885	30.65927	29.87633	33.38317	31.50675	27.37146	34.13407	30.93518	29.13122	32.77896	30.55483	28.58106	28.48427
alpha_rarefaction_193_2.txt	193	2	32.89147	30.92526	29.12309	31.56389	29.07146	31.65152	32.14105	29.33667	28.80681	33.83821	32.79557	29.37642	29.99338	26.26492	29.26588	32.64102	29.92497	32.26211	32.84781	32.97402	30.3198	30.11985	33.22285	31.206	32.53989	34.15866	30.35483	33.10294	27.18715	28.68628
