	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_132_0.txt	132	0	553.75	418.1875	608.0	439.75	581.333333333	535.8	512.230769231	1042.14285714	407.583333333	429.928571429	623.909090909	825.875	483.083333333	418.909090909	534.272727273	868.375	494.909090909	649.6	747.111111111	491.0	613.363636364	408.0	579.5	711.111111111	369.117647059	650.6	437.714285714	911.0	399.5	539.111111111
alpha_rarefaction_132_1.txt	132	1	620.583333333	812.625	296.476190476	526.5	416.909090909	592.666666667	696.8	411.0625	356.461538462	619.0	630.1	480.272727273	698.666666667	545.25	482.083333333	685.1	545.1	825.875	1025.0	392.5	512.230769231	523.545454545	524.5	473.25	640.3	703.125	415.076923077	423.214285714	691.0	320.076923077
alpha_rarefaction_132_2.txt	132	2	591.583333333	545.1	492.214285714	431.333333333	625.333333333	742.857142857	563.333333333	402.4	332.428571429	456.0	685.1	326.555555556	770.625	692.0	639.75	1340.0	524.6	535.272727273	506.363636364	697.666666667	697.666666667	607.0	376.615384615	1156.0	593.545454545	523.545454545	756.875	678.0	507.083333333	533.75
alpha_rarefaction_132_3.txt	132	3	711.111111111	503.461538462	315.0	517.25	326.909090909	592.666666667	798.5	619.0	553.75	640.75	748.111111111	487.153846154	864.428571429	518.666666667	563.333333333	512.230769231	739.0	535.833333333	608.0	365.071428571	399.5	490.0	818.142857143	651.6	640.3	485.545454545	623.909090909	797.5	534.8	432.333333333
alpha_rarefaction_132_4.txt	132	4	525.545454545	593.545454545	377.75	371.625	350.0	879.142857143	431.0	613.363636364	454.461538462	596.1	452.666666667	629.25	912.0	439.75	615.666666667	685.1	430.0	685.333333333	495.909090909	461.769230769	503.461538462	626.333333333	524.6	663.0	619.0	409.363636364	534.272727273	606.0	437.076923077	437.333333333
alpha_rarefaction_132_5.txt	132	5	586.3	692.0	400.5	730.428571429	390.545454545	582.333333333	583.272727273	445.571428571	641.75	496.909090909	587.3	415.75	975.428571429	418.909090909	717.375	623.909090909	461.769230769	465.5	526.5	884.0	408.230769231	417.909090909	662.0	544.25	926.142857143	504.363636364	722.666666667	494.769230769	462.5	444.0
alpha_rarefaction_132_6.txt	132	6	492.214285714	445.571428571	516.5	400.5	757.428571429	595.1	655.090909091	910.0	550.0	574.6	722.666666667	456.833333333	430.866666667	408.583333333	797.5	583.272727273	597.1	293.045454545	438.076923077	355.4	359.3125	628.1	472.25	414.076923077	535.833333333	381.0	473.25	755.875	613.666666667	501.0
alpha_rarefaction_132_7.txt	132	7	475.066666667	623.909090909	544.090909091	497.909090909	601.625	473.25	638.111111111	359.3125	468.571428571	689.0	773.0	439.75	1008.0	500.0	444.230769231	563.0	496.909090909	364.9375	429.928571429	565.0	651.6	385.714285714	613.363636364	716.375	719.5	493.6	650.0	470.153846154	824.875	308.1
alpha_rarefaction_132_8.txt	132	8	563.333333333	445.230769231	381.0	555.5	375.090909091	437.75	538.0	423.4	470.090909091	473.25	735.333333333	769.5	651.6	399.5	486.153846154	767.1	775.142857143	535.833333333	758.428571429	486.545454545	563.0	665.125	438.75	462.769230769	638.111111111	525.5	553.0	394.545454545	648.0	280.875
alpha_rarefaction_132_9.txt	132	9	563.333333333	911.0	608.0	561.0	1079.0	526.5	398.0	529.0	369.066666667	601.909090909	663.0	1100.0	840.25	540.111111111	436.076923077	583.272727273	666.125	499.0	534.8	465.5	583.272727273	703.125	830.5	748.111111111	640.3	651.375	524.545454545	399.461538462	638.111111111	292.214285714
alpha_rarefaction_193_0.txt	193	0	1362.5	714.9375	755.769230769	423.916666667	708.5	695.375	778.875	568.714285714	465.05	873.615384615	877.8125	861.153846154	688.1875	284.53125	582.666666667	570.416666667	605.882352941	571.136363636	590.5	669.0	908.461538462	460.619047619	595.315789474	536.0	1267.6	595.588235294	508.285714286	513.235294118	503.0	406.0
alpha_rarefaction_193_1.txt	193	1	944.0	750.882352941	475.714285714	780.0	716.666666667	524.588235294	910.75	686.166666667	573.25	1038.15384615	861.0	730.75	807.5	395.0	602.882352941	673.352941176	721.5	430.888888889	712.9375	663.666666667	589.3	811.714285714	561.833333333	966.214285714	673.0	885.909090909	612.052631579	740.714285714	751.769230769	396.789473684
alpha_rarefaction_193_2.txt	193	2	826.352941176	699.0	897.583333333	1174.0	466.75	750.928571429	569.714285714	742.714285714	439.75	693.833333333	877.071428571	711.9375	752.928571429	475.052631579	439.954545455	931.5	773.571428571	715.473684211	689.058823529	876.071428571	654.882352941	543.75	1158.1	665.588235294	703.625	720.666666667	564.833333333	882.5	437.75	409.047619048
alpha_rarefaction_193_3.txt	193	3	716.473684211	598.142857143	643.157894737	441.576923077	1055.5	646.2	500.636363636	742.588235294	757.083333333	728.4	886.153846154	694.866666667	1353.33333333	825.333333333	530.3	620.0	478.5	474.545454545	643.5	608.3125	552.0	804.25	770.571428571	995.25	769.647058824	1145.0	527.0	796.0	684.1875	325.333333333
alpha_rarefaction_193_4.txt	193	4	1059.25	551.0	672.352941176	740.2	1125.0	438.0	902.545454545	612.25	420.5	712.9375	518.681818182	494.714285714	675.105263158	581.555555556	554.260869565	787.6875	653.882352941	533.0	547.142857143	484.3	1160.1	478.166666667	1027.90909091	668.0	589.714285714	618.833333333	617.833333333	618.833333333	525.5	475.882352941
alpha_rarefaction_193_5.txt	193	5	1020.0	1015.15384615	1222.5	641.1875	941.75	699.571428571	567.473684211	760.235294118	521.0	770.0	704.4	703.4	688.1875	510.0	833.214285714	542.047619048	412.5	839.866666667	905.75	625.8	1161.1	644.5	786.6875	446.24	583.333333333	386.25	873.615384615	741.714285714	549.368421053	451.9375
alpha_rarefaction_193_6.txt	193	6	664.55	664.588235294	575.25	1001.5	878.1	469.75	596.315789474	732.75	526.5	759.0	585.454545455	453.454545455	991.461538462	468.142857143	649.0625	622.647058824	964.111111111	605.272727273	549.058823529	656.4	708.0	975.272727273	525.0	778.875	1072.5	550.368421053	748.8125	595.5	500.875	402.0625
alpha_rarefaction_193_7.txt	193	7	908.3125	823.428571429	644.666666667	1045.08333333	611.235294118	624.625	431.75	546.75	629.0	625.625	611.052631579	552.368421053	750.8125	491.647058824	657.526315789	823.428571429	549.333333333	689.058823529	976.272727273	722.153846154	876.363636364	751.928571429	546.333333333	768.125	538.5	646.235294118	675.105263158	982.5	532.352941176	818.076923077
alpha_rarefaction_193_8.txt	193	8	895.769230769	693.833333333	714.9375	479.5	465.157894737	482.3	613.666666667	500.476190476	675.0	788.2	769.0	827.333333333	554.285714286	567.125	487.0	789.2	594.4	435.772727273	525.15	751.769230769	1423.33333333	849.75	697.0	754.055555556	759.4375	1000.5	385.076923077	629.117647059	541.666666667	480.2
alpha_rarefaction_193_9.txt	193	9	708.0	522.565217391	605.555555556	614.235294118	534.352941176	739.714285714	412.032258065	570.136363636	1014.6	874.615384615	781.555555556	720.666666667	863.153846154	743.153846154	897.769230769	799.4	722.545454545	943.0	620.833333333	514.142857143	781.0	550.368421053	595.315789474	913.0	1083.0	1055.27272727	626.8	614.235294118	702.555555556	296.115384615
alpha_rarefaction_254_0.txt	254	0	1024.47619048	910.105263158	674.6	620.25	690.954545455	868.333333333	569.5	734.64	823.315789474	782.619047619	706.0	657.12	704.807692308	580.833333333	730.260869565	842.285714286	574.8	772.043478261	639.777777778	577.0	747.043478261	633.037037037	754.44	779.6	862.3	645.04	885.047619048	1071.2	659.222222222	546.055555556
alpha_rarefaction_254_1.txt	254	1	834.956521739	772.043478261	634.037037037	648.555555556	603.444444444	534.565217391	670.4	787.5	677.142857143	856.047619048	628.333333333	628.333333333	870.454545455	550.64	754.772727273	1131.64705882	711.25	822.714285714	944.9	672.5	803.652173913	676.391304348	640.777777778	1065.36842105	886.047619048	762.714285714	575.8	699.576923077	957.117647059	565.285714286
alpha_rarefaction_254_2.txt	254	2	663.222222222	810.913043478	724.434782609	630.137931034	923.5	782.75	526.433333333	784.619047619	787.0	959.117647059	895.142857143	565.166666667	617.275862069	661.476190476	998.588235294	720.384615385	698.0	821.5	1134.07142857	790.142857143	625.576923077	583.538461538	789.142857143	775.541666667	883.047619048	571.533333333	754.916666667	723.434782609	685.65	469.142857143
alpha_rarefaction_254_3.txt	254	3	809.625	987.666666667	641.777777778	573.032258065	539.2	1015.1875	696.75	569.096774194	686.956521739	934.3	654.275862069	868.894736842	839.285714286	442.84	722.5	794.5	660.476190476	652.038461538	955.052631579	717.142857143	833.476190476	594.75	868.894736842	857.0	1112.75	994.0	796.714285714	601.6	701.894736842	436.916666667
alpha_rarefaction_254_4.txt	254	4	672.6	632.357142857	674.6	659.875	657.5	830.526315789	558.533333333	766.714285714	517.84	857.047619048	678.357142857	967.647058824	671.4	664.391304348	1083.35294118	854.954545455	501.111111111	635.620689655	555.037037037	833.476190476	726.12	663.24	727.476190476	824.714285714	918.25	1143.33333333	676.037037037	851.869565217	814.0	717.625
alpha_rarefaction_254_5.txt	254	5	1059.55555556	651.285714286	815.0	966.25	588.115384615	590.25	498.870967742	733.666666667	883.047619048	622.576923077	744.333333333	776.05	677.357142857	616.260869565	702.8	816.0	763.0	1024.78947368	530.5	641.217391304	1157.55555556	608.076923077	972.0	906.0	1049.83333333	933.235294118	533.5	630.357142857	766.4	516.272727273
alpha_rarefaction_254_6.txt	254	6	677.357142857	733.64	603.888888889	701.217391304	632.913043478	841.789473684	570.096774194	509.757575758	707.636363636	817.05	843.391304348	723.5	1252.2	627.333333333	715.545454545	628.333333333	587.107142857	746.043478261	692.565217391	1196.0	787.772727273	596.24137931	685.291666667	915.0	939.333333333	642.115384615	611.076923077	651.565217391	735.3	540.2
alpha_rarefaction_254_7.txt	254	7	1114.0	715.076923077	1111.0	692.565217391	717.5	771.142857143	589.724137931	600.0	502.387096774	937.3	713.2	622.576923077	1022.47619048	692.954545455	914.789473684	742.538461538	725.9	786.260869565	808.15	955.833333333	978.235294118	723.285714286	1260.33333333	893.142857143	986.052631579	601.2	535.0	825.315789474	642.416666667	541.105263158
alpha_rarefaction_254_8.txt	254	8	880.12	819.217391304	778.130434783	796.136363636	878.75	745.636363636	499.277777778	889.894736842	753.916666667	717.384615385	833.125	717.55	894.142857143	651.565217391	738.714285714	1017.0	539.535714286	655.12	748.25	889.894736842	561.363636364	622.041666667	953.55	621.0	950.454545455	528.2	517.7	664.166666667	730.666666667	613.157894737
alpha_rarefaction_254_9.txt	254	9	998.652173913	847.272727273	648.555555556	747.125	829.526315789	925.526315789	617.7	756.5	717.142857143	824.565217391	828.565217391	727.285714286	665.0	599.454545455	833.526315789	1015.52631579	789.142857143	1041.16666667	747.043478261	852.954545455	871.791666667	545.884615385	1025.5	793.5	715.375	655.0	678.875	584.538461538	847.142857143	492.333333333
alpha_rarefaction_315_0.txt	315	0	1493.28571429	895.387096774	810.7	931.12	840.615384615	932.12	583.238095238	1087.95454545	1202.71428571	663.447368421	727.571428571	1155.33333333	1076.18181818	628.25	827.333333333	797.0	925.714285714	797.965517241	971.043478261	695.558823529	892.24137931	647.7	702.5	740.029411765	984.84	850.107142857	987.041666667	908.076923077	749.483870968	578.5
alpha_rarefaction_315_1.txt	315	1	939.103448276	740.228571429	979.538461538	977.619047619	1059.04761905	1096.55	583.512195122	817.896551724	660.567567568	737.0625	763.027777778	1084.95652174	816.896551724	631.677419355	972.12	839.1875	879.615384615	982.5	720.774193548	873.111111111	618.571428571	719.206896552	703.8	1117.38461538	997.730769231	788.964285714	988.272727273	675.052631579	533.25	665.12
